,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
2999,6/29/04,Life Time Fitness ,LTM,Credit Suisse First Boston/Merrill Lynch,18.5,20.75,21.0,0.13513513513513514
3032,8/4/04,Commercial Vehicle Group ,CVGI,Credit Suisse First Boston,13.0,13.05,13.1,0.007692307692307665
3034,8/5/04,NAVTEQ ,NVT,Credit Suisse First Boston/Merrill Lynch,22.0,25.05,25.3,0.15000000000000002
3036,8/18/04,Google ,GOOG,Morgan Stanley/Credit Suisse First Boston,85.0,100.01,100.34,0.18047058823529416
3040,8/10/04,Westlake Chemical ,WLK,Credit Suisse First Boston/JP Morgan/Deutsche Bank,14.5,14.5,14.65,0.01034482758620692
3070,10/7/04,B&G Foods Holdings,BGF,RBC Capital Markets/Credit Suisse First Boston/Merrill Lynch,15.0,15.05,15.0,0.0
3089,10/27/04,Build-A-Bear Workshop ,BBW,Credit Suisse First Boston/Citigroup,20.0,27.0,25.05,0.25250000000000006
3096,11/4/04,MarketAxess Holdings ,MKTX,Credit Suisse First Boston/JP Morgan,11.0,12.75,17.49,0.5899999999999999
3104,11/17/04,PRA International ,PRAI,Credit Suisse First Boston/Bear Stearns,19.0,21.0,21.0,0.10526315789473684
3108,11/18/04,PortalPlayer ,PLAY,Citigroup/Credit Suisse First Boston,17.0,25.6,25.8,0.5176470588235295
3109,11/22/04,UAP Holdings ,UAPH,Goldman Sachs/Credit Suisse First Boston/UBS Investment Bank,16.0,16.25,16.32,0.020000000000000018
3114,12/8/04,SYMMETRY Medical ,SMA,Banc of America/Credit Suisse First Boston,15.0,17.25,18.6,0.2400000000000001
3117,12/9/04,HouseValues ,SOLD,Credit Suisse First Boston/JP Morgan,15.0,18.0,15.74,0.04933333333333335
3132,12/15/04,Interline Brands ,IBI,Credit Suisse First Boston/Lehman Brothers,15.0,15.0,17.3,0.15333333333333338
3168,9/24/03,Anchor Glass Container ,AGCC,Credit Suisse First Boston/Merrill Lynch,16.0,15.9,16.8,0.050000000000000044
3181,10/30/03,Overnite ,OVNT,Credit Suisse First Boston/Morgan Stanley,19.0,21.55,22.16,0.16631578947368422
3185,11/6/03,Quality Distribution,QLTY,Credit Suisse First Boston/Bear Stearns,17.0,20.36,18.75,0.10294117647058823
3198,12/3/03,Aspen Insurance Holdings ,AHL,Credit Suisse First Boston/Goldman Sachs,22.5,25.0,24.05,0.06888888888888892
3214,12/16/03,Universal Technical Institute ,UTI,Credit Suisse First Boston,20.5,24.5,26.35,0.2853658536585367
3229,2/27/02,Integrated Defense ,IDE,Credit Suisse First Boston,22.0,26.75,25.0,0.13636363636363635
3244,4/29/02,Premcor ,PCO,Morgan Stanley/Credit Suisse First Boston,24.0,27.75,28.25,0.17708333333333334
3261,6/5/02,Veridian ,VNX,Credit Suisse First Boston,16.0,18.0,18.15,0.1343749999999999
3264,6/20/02,CTI Molecular Imaging ,CTMI,Credit Suisse First Boston,17.0,17.35,19.5,0.14705882352941177
3265,6/25/02,Big 5 Sporting Goods ,BGFV,Credit Suisse First Boston,13.0,13.01,13.17,0.013076923076923071
3289,11/8/02,WellChoice ,WC,Credit Suisse First Boston,25.0,28.5,27.2,0.08799999999999997
3308,2/9/01,Oil States International ,OIS,Merrill Lynch/Credit Suisse First Boston,9.0,9.02,9.15,0.016666666666666705
3313,2/21/01,CNOOC,CEO,Merrill Lynch/Credit Suisse First Boston,15.4,16.5,16.12,0.0467532467532468
3314,3/2/01,AFC Enterprises ,AFCE,"Goldman, Sachs/Credit Suisse First Boston",17.0,19.5,20.38,0.19882352941176465
3325,5/1/01,Reliant Resources ,RRI,Goldman Sachs/Credit Suisse First Boston,30.0,34.0,33.0,0.1
3327,5/2/01,Simplex Solutions ,SPLX,Credit Suisse First Boston,12.0,15.15,21.2,0.7666666666666666
3338,6/8/01,United Surgical Partners ,USPI,Credit Suisse First Boston,14.0,15.11,18.12,0.2942857142857144
3341,6/13/01,Kraft Foods,KFT,Credit Suisse First Boston/Salomon Smith Barney,31.0,31.5,31.25,0.008064516129032258
3347,6/21/01,Multilink Technology ,MLTC,Credit Suisse First Boston,9.0,9.5,11.9,0.32222222222222224
3356,7/27/01,PDF Solutions ,PDFS,Credit Suisse First Boston,12.0,13.4,15.15,0.2625
3358,8/2/01,Bunge ,BG,Morgan Stanley/Credit Suisse First Boston,16.0,16.0,16.0,0.0
