,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
288,5/23/19,Rattler Midstream Partners,RTLR,Credit Suisse/ BofA Merrill Lynch/ J.P. Morgan,17.5,18.06,18.9,0.07999999999999992
291,6/6/19,GSX Techedu ,GSX,Credit Suisse/ Deutsche Bank Securities,10.5,12.1,10.48,-0.0019047619047618642
293,6/7/19,Revolve Group ,RVLV,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,18.0,25.16,34.0,0.8888888888888888
298,6/19/19,Stoke Therapeutics ,STOK,J.P. Morgan/ Cowen/ Credit Suisse,18.0,27.21,25.57,0.42055555555555557
316,6/28/19,The RealReal ,REAL,Credit Suisse/ BofA Merrill Lynch/ UBS Investment Bank,20.0,28.0,28.9,0.44499999999999995
331,7/19/19,Medallia ,MDLA,BofA Merrill Lynch/ Citigroup/ Wells Fargo Securities/ Credit Suisse,21.0,34.0,37.05,0.7642857142857141
340,7/26/19,"Vista Oil & Gas, S.A.B. de C.V. ",VIST,Citigroup/ Credit Suisse,9.25,8.25,9.1,-0.016216216216216255
352,8/15/19,9F ,JFU,Credit Suisse,9.5,10.88,9.58,0.008421052631578954
359,9/13/19,Satsuma Pharmaceuticals ,STSA,Credit Suisse/ SVB Leerink/ Evercore,15.0,19.0,16.9,0.12666666666666657
364,9/19/19,Datadog ,DDOG,Morgan Stanley/ Goldman Sachs/ J.P. Morgan/ Credit Suisse,27.0,40.35,37.55,0.3907407407407406
394,11/7/19,Galera Therapeutics ,GRTX,BofA Merrill Lynch/ Citigroup/ Credit Suisse,12.0,12.5,12.0,0.0
397,11/8/19,36Kr Holdings ,KRKR,Credit Suisse/ CICC,14.5,12.58,13.06,-0.09931034482758617
436,1/26/18,PlayAGS ,AGS,Credit Suisse/ Deutsche Bank Securities/ Jefferies/ Macquarie Capital/ BofA Merrill Lynch/ Citigroup/ Nomura/ Stifel/ SunTrust Robinson Humphrey,16.0,14.0,18.5,0.15625
442,2/1/18,Hudson Ltd. ,HUD,Credit Suisse/ Morgan Stanley/ UBS Investment Bank,19.0,17.95,17.6,-0.07368421052631571
444,2/2/18,FTS International ,FTSI,Credit Suisse/ Morgan Stanley,18.0,19.0,20.61,0.14499999999999996
